mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4786868803342993,2022-07-02 19:38,张哥氪四大,https://weibo.com/7313126012?refer_flag=1001030103_,#阿里女员工案被告张某将上诉# 被判刑的是供应商张某，阿里女原本不是告他的，告的是同事王某某，结果警察查案，发现王某某不构成犯罪，反而发现了被阿里女主动叫过去主动给开门的供应商张某，然后阿里女改口又告了张某，才有了今天判决 ​,HUAWEI Mate 40,,,,https://weibo.com/7313126012/LArQYe1Ff?refer_flag=1001030103_,0,5,6
4785555421003886,2022-06-29 04:39,男女平权,https://weibo.com/6105983411?refer_flag=1001030103_,#阿里女员工被侵害案关键证据披露# #阿里女员工被侵害案采取测谎辅助手段# #阿里女员工案被告张某将上诉#,iPhone客户端,,,,https://weibo.com/6105983411/LzTGC4d9I?refer_flag=1001030103_,0,0,1
4785420178559245,2022-06-28 19:42,东方神秘大国,https://weibo.com/5527589636?refer_flag=1001030103_,#阿里女员工案被告张某将上诉##阿里女员工被侵害案#,华为Mate30E Pro 5G,,,,https://weibo.com/5527589636/LzQatzUEl?refer_flag=1001030103_,0,0,0
4784071101646408,2022-06-25 02:21,沐名而来530,https://weibo.com/7507877418?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#这个案子影响可能远远超过爱情的本身。经过这个案子之后，让我们见识了舆论是怎么影响司法的？还有就是企业中规中矩的攻关，可能也经受不住舆论的压力。另外一点，这个事情对未来女性就业有着非常大的负面影响。 ​,HUAWEI Mate 30 5G,,,,https://weibo.com/7507877418/Lzh4y6UiY?refer_flag=1001030103_,0,0,0
4784030525949876,2022-06-24 23:40,安徽治安在线,https://weibo.com/2406790612?refer_flag=1001030103_,#张国强制猥亵案一审宣判#//@中国警方在线:张国当庭提出上诉。#张国强制猥亵案一审宣判##阿里女员工案被告张某将上诉#,iPhone客户端,,,https://wx1.sinaimg.cn/orj360/002xAdBtly1h3gsxj5yq7j60jf0d5q4o02.jpg,https://weibo.com/2406790612/Lzg16oXPK?refer_flag=1001030103_,0,0,0
4783861545830043,2022-06-24 12:28,心来观海007-张律,https://weibo.com/1789545365?refer_flag=1001030103_,支持上诉，但翻案的可能性很小。#侵害阿里女员工嫌疑人涉嫌强制猥亵# 【#阿里女员工案被告张某将上诉# 当事女子周某：很委屈难过】#阿里女员工案当事女子称很委屈# 6月22日，济南市槐荫区人民法院依法对张国强制猥亵案一审宣判，以强制猥亵罪判处张国有期徒刑一年六个月。22日上午，当事女士周某表示，刚从新闻上看到判决结果，“不知道怎么形容自己现在的感受，这封判决书，我等了太久太久……很委屈，很难过，但没有人与我共情”。与此同时，被告人张某妻子纪女士表示，不服该判决，将上诉。O网页链接 #阿里女员工案被告张某被判1年半##张国强制猥亵案一审宣判# 相关视频：L封面新闻的微博视频 #情况通报##高考加油##蓝v视界# 收起d,iPhone 11(黑色),,,,https://weibo.com/1789545365/LzbCyosEX?refer_flag=1001030103_,0,0,0
4783843099283079,2022-06-24 11:15,小昊village,https://weibo.com/3432921344?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#上诉肯定赢不了。这一年半的刑期就是给上诉留出来的。张某妻子没有第一时间小作文，等人被刑拘了再出来已经晚了。刑拘以后公检法已经被绑上车，再翻案都要担责任，所谓有错抓的没有错放的。现在就是女拳舆论造势，利用国内法律维稳为先的特点，先把公检法绑上车，自己就可以撤了。剩下的都不用自己做了。到如今的地步，再纠结原告周某出庭不出庭没有意义了，她就算良心发现，翻供张某都很难无罪，从张某被刑拘，这已经不是周某和张某的事，而是司法体系和张某之间的事。纠正司法体系以维稳为先的弊病，加强公检法之间互相制约监督才是这种事的解决之道。 收起d,Redmi K20 Pro 尊享版,,,,https://weibo.com/3432921344/Lzb8NCWX5?refer_flag=1001030103_,0,0,1
4783833515297631,2022-06-24 10:37,细雨大大,https://weibo.com/5866120694?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#仔细看了网传的某书（不敢贴图），一是里面有一个重要的但和警方通报完全矛盾的地方；二是张某不承认已经签了的认罪书，当庭翻供！三是周某主动劝了张某白酒，但周某干杯了张某没喝干！四是张某没有房卡，应该是周某自己给开的门，而且没穿内衣；五是说明了网传的照片为另一张姓男子所拍；六是没有提及谁买单。 收起d,iPhone 12 Pro(石墨色),,,,https://weibo.com/5866120694/LzaTlme9F?refer_flag=1001030103_,0,1,1
4783667304729412,2022-06-23 23:37,中访网财观,https://weibo.com/7647895119?refer_flag=1001030103_,【#阿里女员工案张某妻子回应判决#：有证人能证明周某当时清醒，她发的小作文造成社会影响】6月22日，“阿里女员工案”一审宣判， 嫌犯张国以强制猥亵罪判处有期徒刑一年六个月。对此，@阿里女员工案张某妻子 表示，当时在庭上都抽搐了，会上诉到底。她说，法院认定周某不知道反抗了，但是有证人可以证明周某是清醒的。她表示，是因为#法院认定张国无认罪悔罪表现#和周某发的小作文造成的社会影响，丈夫才被判刑1年半。#阿里女员工案被告张某将上诉#@九派新闻 L九派新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/7647895119/Lz6zgjQkQ?refer_flag=1001030103_,0,0,0
4783606348383453,2022-06-23 19:34,小仙女手上的星星棒,https://weibo.com/2414113525?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#证据链完整吗?阿里周某为何谎话连篇！！！！ ​,微博搜索,,,,https://weibo.com/2414113525/Lz4YWzaUZ?refer_flag=1001030103_,0,0,0
4783529789756886,2022-06-23 14:30,雨声·声声慢,https://weibo.com/1762684490?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#张某一睁眼，自己正躺在自家床上，一模口袋，是一条胖次。穿越了！一看表，O7月28日12:30分 ，还有4分钟周某就要报警了。如何逆风翻盘？ ​,iPhone客户端,,,,https://weibo.com/1762684490/Lz2ZsEWd8?refer_flag=1001030103_,0,2,0
4783485850751504,2022-06-23 11:36,深圳镖客,https://weibo.com/5638642485?refer_flag=1001030103_,从阿里女员工周某流出的照片看，这种又丑又骚的女人，如果不主动脱裤子送上来，没有男人能看得上她，无非就是送上门的便宜不占白不占，总比去精油打．飞．机强吧？系紧裤腰带很重要！ ​​​#阿里女员工案被告张某将上诉# ​,iPhone 12,,,,https://weibo.com/5638642485/Lz1QB39v2?refer_flag=1001030103_,1,0,0
4783481287346256,2022-06-23 11:17,三言财经,https://weibo.com/6476628742?refer_flag=1001030103_,“阿里女员工”案被告张某妻子：将坚决上诉到底。#阿里女员工案被告张某将上诉# L三言财经的微博视频 ​,微博视频号,,,,https://weibo.com/6476628742/Lz1JeuP60?refer_flag=1001030103_,0,0,2
4783469270140693,2022-06-23 10:30,发现济南,https://weibo.com/1460897267?refer_flag=1001030103_,#阿里女员工案当事女子称很委屈#【#阿里女员工案被告张某将上诉# 当事女子周某：很委屈难过】#阿里女员工案当事女子称很委屈# 6月22日，济南市槐荫区人民法院依法对张国强制猥亵案一审宣判，以强制猥亵罪判处张国有期徒刑一年六个月。22日上午，当事女士周某表示，刚从新闻上看到判决结果，“不知道怎么形容自己现在的感受，这封判决书，我等了太久太久……很委屈，很难过，但没有人与我共情”。与此同时，被告人张某妻子纪女士表示，不服该判决，将上诉。O网页链接 #阿里女员工案被告张某被判1年半##张国强制猥亵案一审宣判# 相关视频：L封面新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/1460897267/Lz1pR0ABf?refer_flag=1001030103_,0,0,0
4783463717404741,2022-06-23 10:08,气势凌人的大虾,https://weibo.com/2632130537?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#造孽，毁了两个家庭和一生。 ​,iPhone客户端,,,,https://weibo.com/2632130537/Lz1gTv4jj?refer_flag=1001030103_,0,0,1
4783377272799630,2022-06-23 04:24,赵宏民,https://weibo.com/1329201253?refer_flag=1001030103_,有关阿里巴巴女员工案，@王某文妻子 这段话说的很有深度，发人深省，阿里巴巴究竟有没有迫于舆论压力开除当事员工？#阿里女员工案被告张某将上诉# ​,,,,https://wx1.sinaimg.cn/orj360/4f3a0065ly1h3ho93s9unj21402nj7o6.jpg,https://weibo.com/1329201253/LyZ1tbKjk?refer_flag=1001030103_,4,42,90
4783349522235420,2022-06-23 02:34,立花正仁·,https://weibo.com/3137811311?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#这个案子持续关注，如果是真的，那么绝不同情。如果跟货拉拉案一个德行，包括唐山老赖案，公检法真的是畸形。 ​,iPhone客户端,,,,https://weibo.com/3137811311/LyYiI9nxa?refer_flag=1001030103_,0,0,0
4783301955424097,2022-06-22 23:25,张里毅,https://weibo.com/1762571997?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#写小作文的周莉不可能承认自己和张某情投意合，投怀送抱，承认了自己人设就坍塌了。周莉不承认上述~再加上即成的事实，两者当天发生的故事。济南公检法就有充分的理由判猥亵。周莉的态度摆着呢，济南公检法也不可能再去否定自己当初的行为（抓人，羁押）。张某现在的情况很不乐观，二审大概率维持原判。 收起d,iPhone客户端,,,,https://weibo.com/1762571997/LyX3ZmL3r?refer_flag=1001030103_,0,1,0
4783291998405222,2022-06-22 22:45,道不远人1977,https://weibo.com/5763139759?refer_flag=1001030103_,"#阿里女员工案被告张某将上诉#研究近现代史事件与人物，特别需要站在各方当事人视角看问题。但阿里案，完全无法与周某“共情”！太违反常理了！我现在最好奇的是，为什么大部分人都认为是a,而济南的几个法官偏认为是b.他们到底掌握了什么公众不知道的证据？他们到底引用了什么公众不知道的法律？或者，他们到底进行了什么公众意想不到的推理？我觉得法官应该借这个案子做一个普法工作，以维护法律的神圣性！ 收起d",HUAWEI P40 5G,,,,https://weibo.com/5763139759/LyWNVzgA6?refer_flag=1001030103_,0,0,0
4783287895331512,2022-06-22 22:29,L雨后茶香,https://weibo.com/1604451190?refer_flag=1001030103_,#阿里女员工案被告张某将上诉#抢唐山头条成功，罗总真还传刚刚落下帷幕，阿里女员工真相传又起续集 ​,荣耀 9X,,,,https://weibo.com/1604451190/LyWHjmmY8?refer_flag=1001030103_,0,0,2
